'motivo','arruamento','troco','entidade','tipo_de_condicionamento','data_de_início','hora_de_inicio','data_de_fim','hora_de_fim','observacoes','registo_data','coordenada_x','coordenada_y','registo_hora','ultima_modificacao_data','ultima_modificacao_hora','objectid','esriGeometryPoint'
'Acidente rodoviário','Rotunda do Bessa','','','Estreitamento',1682636400000,62580000,1682636400000,64800000,'',1682636400000,-8.639138,41.16482,62940000,1682636400000,63000000,105441,'-42465.90539999974,166308.66680000033'
'Acidente rodoviário','Via de Cintura Interna','Após o acesso ao Mercado abastecedor','IP','Estreitamento',1682636400000,60600000,1682636400000,63000000,'',1682636400000,-8.581075,41.16228,61020000,1682636400000,61080000,106236,'-37594.32079999989,165999.85190000027'
'Avaria de telecomunicações','Rua de Augusto Lessa','362','visabeira','Estreitamento',1682982000000,32400000,1682982000000,33300000,'c/ policiamento',1682982000000,-8.598852,41.16975,32640000,1682982000000,32640000,105462,'-39081.88169999986,166836.78539999915'
'Avaria elétrica','Rua César das Neves','Nº 116','','Ocupação do passeio',1682982000000,31080000,1682982000000,81900000,'Iluminação Publica',1682982000000,-8.59379,41.16596,31080000,1682982000000,31140000,105460,'-38659.26630000034,166413.77730000028'
'Avaria de telecomunicações','Rua de Augusto Lessa','473','visabeira','Estreitamento',1682982000000,34920000,1682982000000,36900000,'c/ policiamento',1682982000000,-8.599944,41.16978,35040000,1682982000000,35220000,106641,'-39173.4683999998,166840.2674000004'
'Outro motivo','Rua de António Aroso','Nº 65','','Estreitamento',1682982000000,31080000,1682982000000,81900000,'Reparação de aqueduto',1682982000000,-8.670887,41.16568,31320000,1682982000000,31440000,105461,'-45129.90189999989,166419.4941000007'
'Outro motivo','Campo do Rou','Nº 10','','Ocupação do passeio',1682982000000,49080000,1682982000000,81900000,'Verificar ramal 30',1682982000000,-8.630705,41.14715,49020000,1682982000000,49080000,107851,'-41769.38229999977,164341.8212999997'
'Avaria de telecomunicações','Rua de Guedes de Azevedo','Nº 9','','Ocupação do passeio',1682982000000,30900000,1682982000000,43200000,'Abrir CVP',1682982000000,-8.605206,41.15187,30960000,1682982000000,31200000,105459,'-39625.93439999965,164854.5223999987'
'Avaria de telecomunicações','Praça de D. João I','C/ Sá da Bandeira','Groupfix- Pedro Azevedo','Estreitamento',1682982000000,47400000,1682982000000,49200000,'abrir CVP C/ policiamento',1682982000000,-8.608468,41.14777,47400000,1682982000000,47580000,107846,'-39902.217400000445,164400.7766999999'
'Acidente rodoviário','Rua da Restauração','Rua Prof José de Carvalho','PM','Estreitamento',1682982000000,41700000,1682982000000,44400000,'Embate entre viatura ligeira e  Carro elétrico',1682982000000,-8.617702,41.14641,42660000,1682982000000,42780000,107442,'-40678.29550000005,164253.33760000058'
'Outro motivo','Rua do Bonfim','378','','Ocupação do passeio',1682982000000,35640000,1682982000000,81900000,'substituir cabeça móvel',1682982000000,-8.594634,41.15052,35700000,1682982000000,35760000,107441,'-38739.2565999999,164699.4057000009'
'Avaria de telecomunicações','Avenida da Boavista','Nº 1681','Altice - Luís Santos','Ocupação do passeio',1682982000000,48720000,1682982000000,55920000,'Abrir cvp',1682982000000,-8.643319,41.16028,48660000,1682982000000,48780000,107847,'-42819.7209000001,165806.64220000056'
'Outro motivo','Rua do Monte da Estação','Nº 190','','Ocupação do passeio',1682982000000,46800000,1682982000000,81900000,'Reparação CRL',1682982000000,-8.585399,41.15222,46740000,1682982000000,46800000,107842,'-37963.03849999975,164884.54710000026'
'Aluimento','Avenida de Fernão de Magalhães','2779','','Estreitamento',1682982000000,47520000,1682982000000,81900000,'',1682982000000,-8.585253,41.17315,47400000,1682982000000,47520000,108246,'-37938.61560000004,167208.41680000024'
'Rotura de conduta','Rua da Senhora da Luz','Nº 339','','Ocupação do passeio',1682982000000,37800000,1682982000000,81900000,'',1682982000000,-8.677616,41.15231,37740000,1682982000000,38040000,107042,'-45703.92910000017,164938.5899999999'
'Outro motivo','Praça do Exército Libertador','Nº 116','','Ocupação do passeio',1682982000000,32400000,1682982000000,81900000,'Verificar ramal 30',1682982000000,-8.624879,41.16575,32700000,1682982000000,32760000,106241,'-41268.60940000023,166405.19239999913'
'Outro motivo','Rua da Alegria','Nº 567','','Ocupação do passeio',1682982000000,33480000,1682982000000,81900000,'Reparação de Pavimento',1682982000000,-8.602637,41.15559,33420000,1682982000000,33540000,105463,'-39408.004300000284,165265.59770000033'
'Aluimento','Rua de Sá de Miranda','39','','Ocupação do passeio',1682982000000,51180000,1682982000000,81900000,'',1682982000000,-8.613002,41.17611,51240000,1682982000000,51300000,107854,'-40265.43869999987,167549.64540000033'
'Avaria de telecomunicações','Rua de Fernandes Tomás','268','','Ocupação do passeio',1682982000000,49500000,1682982000000,56700000,'',1682982000000,-8.601854,41.14898,49200000,1682982000000,49200000,107852,'-39346.23330000041,164531.29240000035'
'Aluimento','Travessa da Fonte de Contumil','271','','Ocupação do passeio',1682982000000,49920000,1682982000000,81900000,'',1682982000000,-8.581824,41.17107,49920000,1682982000000,49980000,107853,'-37652.10329999967,166976.4041000009'
'Avaria de telecomunicações','Rua do Conde da Covilhã','1307','CME','Ocupação do passeio',1682982000000,51720000,1682982000000,54000000,'',1682982000000,-8.654627,41.17368,51840000,1682982000000,51900000,107856,'-43759.9507999997,167300.1888999991'
'Avaria de telecomunicações','Rua de Camões','392','Groupfix','Estreitamento',1682982000000,52200000,1682982000000,54900000,'com policiamento',1682982000000,-8.609965,41.15542,52200000,1682982000000,52380000,108651,'-40023.21760000011,165250.2983999998'
'Outro motivo','Rua do Ouro','frente a antiga EDP','','Estreitamento',1683068400000,27000000,1683068400000,81900000,'Reparação de injetores na via',1683068400000,-8.642176,41.1481,-1320000,1683068400000,-1260000,107864,'-42731.71750000027,164453.23659999997'
'Outro motivo','Rua da Boa Nova','n.126','','Estreitamento',1683068400000,27000000,1683068400000,81900000,'Reparação de ramal no passeio',1683068400000,-8.624308,41.14965,-1860000,1683068400000,-1800000,107863,'-41230.795699999675,164615.92109999995'
'Outro motivo','Rua das Oliveiras','n.124','','Estreitamento',1683068400000,27000000,1683068400000,81900000,'Abertura de sonda no passeio',1683068400000,-8.614792,41.14983,-1920000,1683068400000,-1860000,107862,'-40431.885800000324,164631.61559999952'
'Avaria de telecomunicações','Rua de 31 de Janeiro','157','Meo','Ocupação do passeio',1682982000000,52200000,1682982000000,54000000,'',1682982000000,-8.608575,41.14616,52260000,1682982000000,52320000,108252,'-39912.22910000017,164221.29040000043'
'Outro motivo','Avenida da Boavista','237','','Ocupação do passeio',1682982000000,63000000,1682982000000,81900000,'',1682982000000,-8.630522,41.15805,63060000,1682982000000,63120000,108256,'-41747.062900000186,165552.1245000009'
'Outro motivo','Rua da Senhora do Porto','n.913','','Estreitamento',1683068400000,27000000,1683068400000,81900000,'Reparação de conduta na via',1683068400000,-8.624354,41.17958,-1200000,1683068400000,-1140000,107865,'-41215.86179999999,167940.3949000003'
'Avaria de telecomunicações','Rua do Bolhão','Nº 119','Wondercom','Ocupação do passeio',1683068400000,30600000,1683068400000,37800000,'Abrir CVP',1683068400000,-8.607302,41.15134,30420000,1683068400000,30540000,108665,'-39802.14589999994,164796.2759000012'
'Avaria elétrica','Rua Nova de S. Crispim','Nº 411','','Ocupação do passeio',1683068400000,28800000,1683068400000,81900000,'Baixa tensão',1683068400000,-8.596608,41.15956,29040000,1683068400000,29100000,107867,'-38899.57259999959,165704.56130000023'
'Avaria de telecomunicações','Rua dos Choupos','197','CME','Ocupação do passeio',1682982000000,55800000,1682982000000,57600000,'',1682982000000,-8.657258,41.17376,55920000,1682982000000,56040000,108254,'-43980.692499999954,167310.5129000003'
'Avaria de CCTV','','PMV02 - Rua Faria Guimarães / Via Cintura Interna','','',1683068400000,32960000,'','',' ',1683068400000,-8.60521,41.17072,32960000,1683068400000,32960000,108668,'-39614.85039999987,166947.5387000003'
'Outro motivo','Rua de Pedro Homem de Mello','Nº 160','','Ocupação do passeio',1683068400000,28380000,1683068400000,81900000,'Abrir Sonda',1683068400000,-8.667917,41.16338,28320000,1683068400000,28620000,108661,'-44882.25399999967,166162.56409999885'
'Outro motivo','Avenida da Boavista','237','','Ocupação do passeio',1682982000000,53100000,1682982000000,81900000,'',1682982000000,-8.626579,41.15737,53760000,1682982000000,53820000,108253,'-41416.54270000008,165475.32499999902'
'Avaria elétrica','Rua da Fábrica','nº 45','','Ocupação do passeio',1683068400000,28800000,1683068400000,81900000,'Baixa tensão',1683068400000,-8.613048,41.14744,29040000,1683068400000,29280000,108662,'-40286.95210000032,164366.21519999983'
'Outro motivo','Cais da Estiva','com Praça da Ribeira','','Estreitamento',1683068400000,26100000,1683068400000,81900000,'Abertura de sonda na faixa',1683068400000,-8.613191,41.14038,26160000,1683068400000,26760000,107866,'-40303.21980000026,163581.49010000002'
'Outro motivo','Avenida da Boavista','Com a rua de Santa Isabel','Sóltrafego','Estreitamento',1683068400000,28800000,1683068400000,57600000,'Com acompanhamento Policial .',1683068400000,-8.623904,41.15704,29340000,1683068400000,29580000,108664,'-41192.206600000114,165436.53310000003'
'Outro motivo','Rua de Gomes Leal','Nº 21','','Estreitamento',1683068400000,29400000,1683068400000,81900000,'Reparação de pavimento',1683068400000,-8.594218,41.15318,29220000,1683068400000,29460000,108663,'-38702.74210000034,164994.91319999943'
